--------- beginning of main
--------- beginning of system
08-05 02:09:16.469  9658 16016 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:17.964  9658 16066 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.964  9658 16066 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6326827.png
08-05 02:09:17.964  9658 16066 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.964  9658 16066 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6326827.png
08-05 02:09:17.964  9658 16057 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.965  9658 16057 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Content-Length 477
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Content-Type image/png
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:17.966  9658 16057 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 23:46:12 GMT
08-05 02:09:17.966  9658 16057 D CustomInterceptor: Server AmazonS3
08-05 02:09:17.966  9658 16057 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-05 02:09:17.966  9658 16057 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-05 02:09:17.966  9658 16057 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.966  9658 16057 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.966  9658 16057 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.966  9658 16057 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.990  9658 16057 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.998  9658 16066 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:18.002  9658 16061 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:18.005  9658 16061 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:18.005  9658 16061 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:18.005  9658 16061 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:18.005  9658 16061 D CustomInterceptor: Content-Length 2228
08-05 02:09:18.006  9658 16061 D CustomInterceptor: Content-Type image/png
08-05 02:09:18.006  9658 16061 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:18.006  9658 16061 D CustomInterceptor: ETag "a38dcdfa1e0df848dd1cd4b5b7016264"
08-05 02:09:18.006  9658 16061 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:18 GMT+00:00
08-05 02:09:18.006  9658 16061 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 16:49:08 GMT
08-05 02:09:18.006  9658 16061 D CustomInterceptor: Server AmazonS3
08-05 02:09:18.006  9658 16061 D CustomInterceptor: x-amz-id-2 KU2jVmbBRDjtzEFOCZYLApZrrt76ls+oWor4R3+PgGUdiuIlOB95bqFWENJqLgUDVqYP4hcCZRY=
08-05 02:09:18.006  9658 16061 D CustomInterceptor: x-amz-request-id C54E9A3D4963B8E0
08-05 02:09:18.006  9658 16061 D CustomInterceptor: CACHEABLE true
08-05 02:09:18.006  9658 16061 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/7702341.png
08-05 02:09:18.006  9658 16061 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:18.006  9658 16061 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/7702341.png
08-05 02:09:18.008  9658 16061 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:27.382  9658 16047 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.382  9658 16047 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.383  9658 16047 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.383  9658 16047 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=12,misses=12,hitRate=50%]', 
08-05 02:09:27.383  9658 16047 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.431  9658 16057 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:27.431  9658 16066 D CustomInterceptor: NETWORK-PROVIDER https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:27.431  9658 16061 D CustomInterceptor: NETWORK-PROVIDER https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:27.432  9658 16057 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.432  9658 16057 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.432  9658 16061 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.432  9658 16057 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '13', toString = 'LruCache[maxSize=100,hits=12,misses=13,hitRate=48%]', 
08-05 02:09:27.432  9658 16061 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.432  9658 16066 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.432  9658 16057 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.432  9658 16061 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=12,misses=14,hitRate=46%]', 
08-05 02:09:27.432  9658 16066 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.432  9658 16061 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.432  9658 16066 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '15', toString = 'LruCache[maxSize=100,hits=12,misses=15,hitRate=44%]', 
08-05 02:09:27.432  9658 16066 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.435  9658 16045 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.436  9658 16045 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.436  9658 16045 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.436  9658 16045 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '16', toString = 'LruCache[maxSize=100,hits=12,misses=16,hitRate=42%]', 
08-05 02:09:27.436  9658 16045 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.452  9658 16054 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:27.456  9658 16054 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.456  9658 16054 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.457  9658 16054 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '17', toString = 'LruCache[maxSize=100,hits=12,misses=17,hitRate=41%]', 
08-05 02:09:27.457  9658 16054 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.536  9658 16047 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:27.537  9658 16047 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:27.537  9658 16047 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:27.537  9658 16047 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:27.537  9658 16047 D CustomInterceptor: Content-Length 4737
08-05 02:09:27.537  9658 16047 D CustomInterceptor: Content-Type image/gif
08-05 02:09:27.538  9658 16047 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:23 GMT
08-05 02:09:27.538  9658 16047 D CustomInterceptor: ETag "281f447661f4b68e23ba5d56850d3409"
08-05 02:09:27.538  9658 16047 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:27 GMT+00:00
08-05 02:09:27.538  9658 16047 D CustomInterceptor: Last-Modified Sun, 11 Jan 2015 21:14:48 GMT
08-05 02:09:27.538  9658 16047 D CustomInterceptor: Server AmazonS3
08-05 02:09:27.538  9658 16047 D CustomInterceptor: x-amz-id-2 2MkjuqXhZyt1Y4C/HNE98o/VIQeOVxPPKuIYxYiVJYQIcIP+HPKDQmqks5iOUyeZEGb5OJBhpJY=
08-05 02:09:27.538  9658 16047 D CustomInterceptor: x-amz-request-id 54FD84394F10DEE1
08-05 02:09:27.538  9658 16047 D CustomInterceptor: CACHEABLE true
08-05 02:09:27.538  9658 16047 D CustomInterceptor: REQ https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.538  9658 16047 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:27.538  9658 16047 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.538  9658 16381 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:27.539  9658 16381 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.539  9658 16381 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.539  9658 16381 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:27.539  9658 16381 D CustomInterceptor: CACHED STATS: size = '11', maxSize = '100', hitCount = '12', createCount = '0', putCount = '12', evictionCount = '0', missCount = '18', toString = 'LruCache[maxSize=100,hits=12,misses=18,hitRate=40%]', 
08-05 02:09:27.539  9658 16381 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-05 02:09:27.557  9658 16047 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:27.614  9658 16045 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:27.615  9658 16045 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Content-Length 4737
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Content-Type image/gif
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:27.615  9658 16045 D CustomInterceptor: ETag "281f447661f4b68e23ba5d56850d3409"
08-05 02:09:27.615  9658 16045 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:27 GMT+00:00
08-05 02:09:27.616  9658 16045 D CustomInterceptor: Last-Modified Sun, 11 Jan 2015 21:14:49 GMT
08-05 02:09:27.616  9658 16045 D CustomInterceptor: Server AmazonS3
08-05 02:09:27.616  9658 16045 D CustomInterceptor: x-amz-id-2 2MkjuqXhZyt1Y4C/HNE98o/VIQeOVxPPKuIYxYiVJYQIcIP+HPKDQmqks5iOUyeZEGb5OJBhpJY=
08-05 02:09:27.616  9658 16045 D CustomInterceptor: x-amz-request-id 54FD84394F10DEE1
08-05 02:09:27.616  9658 16045 D CustomInterceptor: CACHEABLE true
08-05 02:09:27.616  9658 16045 D CustomInterceptor: REQ https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.616  9658 16045 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:27.616  9658 16045 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif
08-05 02:09:27.619  9658 16045 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:27.622  9658 16047 D CustomInterceptor: NETWORK-PROVIDER https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:27.623  9658 16047 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.623  9658 16047 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.623  9658 16047 D CustomInterceptor: CACHED STATS: size = '12', maxSize = '100', hitCount = '14', createCount = '0', putCount = '14', evictionCount = '0', missCount = '19', toString = 'LruCache[maxSize=100,hits=14,misses=19,hitRate=42%]', 
08-05 02:09:27.623  9658 16047 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:27.633  9658 16045 D CustomInterceptor: NETWORK-PROVIDER https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:27.634  9658 16045 D CustomInterceptor: HEADER REQUEST
08-05 02:09:27.634  9658 16045 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:27.634  9658 16045 D CustomInterceptor: CACHED STATS: size = '12', maxSize = '100', hitCount = '14', createCount = '0', putCount = '14', evictionCount = '0', missCount = '20', toString = 'LruCache[maxSize=100,hits=14,misses=20,hitRate=41%]', 
08-05 02:09:27.634  9658 16045 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:28.003  9658 16045 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.003  9658 16045 D CustomInterceptor: accept-ranges bytes
08-05 02:09:28.003  9658 16045 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:28.003  9658 16045 D CustomInterceptor: access-control-expose-headers Content-Length
08-05 02:09:28.003  9658 16045 D CustomInterceptor: age 340652
08-05 02:09:28.003  9658 16045 D CustomInterceptor: cache-control max-age=604800, must-revalidate
08-05 02:09:28.003  9658 16045 D CustomInterceptor: content-length 2111
08-05 02:09:28.003  9658 16045 D CustomInterceptor: content-type image/jpeg
08-05 02:09:28.003  9658 16045 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:28.003  9658 16045 D CustomInterceptor: last-modified Wed, 30 Oct 2019 02:00:46 GMT
08-05 02:09:28.003  9658 16045 D CustomInterceptor: server ECS (amb/6B77)
08-05 02:09:28.003  9658 16045 D CustomInterceptor: strict-transport-security max-age=631138519
08-05 02:09:28.004  9658 16045 D CustomInterceptor: surrogate-key profile_images profile_images/bucket/5 profile_images/1186729813748248576
08-05 02:09:28.004  9658 16045 D CustomInterceptor: x-cache HIT
08-05 02:09:28.004  9658 16045 D CustomInterceptor: x-connection-hash fcbfb700ac5a5f02725f8980c3807fc2
08-05 02:09:28.004  9658 16045 D CustomInterceptor: x-content-type-options nosniff
08-05 02:09:28.004  9658 16045 D CustomInterceptor: x-response-time 108
08-05 02:09:28.004  9658 16045 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.004  9658 16045 D CustomInterceptor: REQ https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.004  9658 16045 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.004  9658 16045 D CustomInterceptor: PREFLIB Adding response to lrucache - https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.010  9658 16045 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.021  9658 16066 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.021  9658 16066 D CustomInterceptor: accept-ranges bytes
08-05 02:09:28.022  9658 16066 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:28.022  9658 16066 D CustomInterceptor: access-control-expose-headers Content-Length
08-05 02:09:28.022  9658 16066 D CustomInterceptor: age 340652
08-05 02:09:28.022  9658 16066 D CustomInterceptor: cache-control max-age=604800, must-revalidate
08-05 02:09:28.022  9658 16066 D CustomInterceptor: content-length 2111
08-05 02:09:28.022  9658 16066 D CustomInterceptor: content-type image/jpeg
08-05 02:09:28.022  9658 16066 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:28.022  9658 16066 D CustomInterceptor: last-modified Wed, 30 Oct 2019 02:00:46 GMT
08-05 02:09:28.022  9658 16066 D CustomInterceptor: server ECS (amb/6B77)
08-05 02:09:28.022  9658 16066 D CustomInterceptor: strict-transport-security max-age=631138519
08-05 02:09:28.022  9658 16066 D CustomInterceptor: surrogate-key profile_images profile_images/bucket/5 profile_images/1186729813748248576
08-05 02:09:28.022  9658 16066 D CustomInterceptor: x-cache HIT
08-05 02:09:28.022  9658 16066 D CustomInterceptor: x-connection-hash fcbfb700ac5a5f02725f8980c3807fc2
08-05 02:09:28.022  9658 16066 D CustomInterceptor: x-content-type-options nosniff
08-05 02:09:28.022  9658 16066 D CustomInterceptor: x-response-time 108
08-05 02:09:28.022  9658 16066 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.022  9658 16066 D CustomInterceptor: REQ https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.022  9658 16066 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.022  9658 16066 D CustomInterceptor: PREFLIB Adding response to lrucache - https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.023  9658 16066 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.026  9658 16061 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.026  9658 16061 D CustomInterceptor: accept-ranges bytes
08-05 02:09:28.026  9658 16061 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:28.026  9658 16061 D CustomInterceptor: access-control-expose-headers Content-Length
08-05 02:09:28.027  9658 16061 D CustomInterceptor: age 340652
08-05 02:09:28.027  9658 16061 D CustomInterceptor: cache-control max-age=604800, must-revalidate
08-05 02:09:28.027  9658 16061 D CustomInterceptor: content-length 2111
08-05 02:09:28.027  9658 16061 D CustomInterceptor: content-type image/jpeg
08-05 02:09:28.027  9658 16061 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:28.027  9658 16061 D CustomInterceptor: last-modified Wed, 30 Oct 2019 02:00:46 GMT
08-05 02:09:28.027  9658 16061 D CustomInterceptor: server ECS (amb/6B77)
08-05 02:09:28.027  9658 16061 D CustomInterceptor: strict-transport-security max-age=631138519
08-05 02:09:28.027  9658 16061 D CustomInterceptor: surrogate-key profile_images profile_images/bucket/5 profile_images/1186729813748248576
08-05 02:09:28.027  9658 16061 D CustomInterceptor: x-cache HIT
08-05 02:09:28.027  9658 16061 D CustomInterceptor: x-connection-hash fcbfb700ac5a5f02725f8980c3807fc2
08-05 02:09:28.027  9658 16061 D CustomInterceptor: x-content-type-options nosniff
08-05 02:09:28.027  9658 16061 D CustomInterceptor: x-response-time 108
08-05 02:09:28.027  9658 16061 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.027  9658 16061 D CustomInterceptor: REQ https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.027  9658 16061 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.027  9658 16061 D CustomInterceptor: PREFLIB Adding response to lrucache - https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.028  9658 16061 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.032  9658 16045 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.033  9658 16045 D CustomInterceptor: HEADER REQUEST
08-05 02:09:28.033  9658 16045 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:28.033  9658 16045 D CustomInterceptor: CACHED STATS: size = '13', maxSize = '100', hitCount = '17', createCount = '0', putCount = '17', evictionCount = '0', missCount = '21', toString = 'LruCache[maxSize=100,hits=17,misses=21,hitRate=44%]', 
08-05 02:09:28.033  9658 16045 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:28.045  9658 16047 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.046  9658 16047 D CustomInterceptor: accept-ranges bytes
08-05 02:09:28.046  9658 16047 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:28.046  9658 16047 D CustomInterceptor: access-control-expose-headers Content-Length
08-05 02:09:28.046  9658 16047 D CustomInterceptor: age 340652
08-05 02:09:28.046  9658 16047 D CustomInterceptor: cache-control max-age=604800, must-revalidate
08-05 02:09:28.046  9658 16047 D CustomInterceptor: content-length 2111
08-05 02:09:28.046  9658 16047 D CustomInterceptor: content-type image/jpeg
08-05 02:09:28.046  9658 16047 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:28.046  9658 16047 D CustomInterceptor: last-modified Wed, 30 Oct 2019 02:00:46 GMT
08-05 02:09:28.046  9658 16047 D CustomInterceptor: server ECS (amb/6B77)
08-05 02:09:28.046  9658 16047 D CustomInterceptor: strict-transport-security max-age=631138519
08-05 02:09:28.046  9658 16047 D CustomInterceptor: surrogate-key profile_images profile_images/bucket/5 profile_images/1186729813748248576
08-05 02:09:28.046  9658 16047 D CustomInterceptor: x-cache HIT
08-05 02:09:28.047  9658 16047 D CustomInterceptor: x-connection-hash fcbfb700ac5a5f02725f8980c3807fc2
08-05 02:09:28.047  9658 16047 D CustomInterceptor: x-content-type-options nosniff
08-05 02:09:28.047  9658 16047 D CustomInterceptor: x-response-time 108
08-05 02:09:28.047  9658 16047 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.047  9658 16047 D CustomInterceptor: REQ https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.047  9658 16047 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.047  9658 16047 D CustomInterceptor: PREFLIB Adding response to lrucache - https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg
08-05 02:09:28.084  9658 16047 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.090  9658 16057 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Cache-Control max-age=315360000
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Connection close
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Content-Length 17022
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Content-Type image/png
08-05 02:09:28.090  9658 16057 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:23 GMT
08-05 02:09:28.091  9658 16057 D CustomInterceptor: ETag "5a9473c0-427e"
08-05 02:09:28.091  9658 16057 D CustomInterceptor: Expires Fri, 08 Jan 2038 06:15:44 GMT
08-05 02:09:28.091  9658 16057 D CustomInterceptor: Last-Modified Tue, 06 Mar 2018 03:13:09 GMT
08-05 02:09:28.091  9658 16057 D CustomInterceptor: Server nginx/1.11.8
08-05 02:09:28.091  9658 16057 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:28.091  9658 16057 D CustomInterceptor: X-nginx-server app14
08-05 02:09:28.091  9658 16057 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.091  9658 16057 D CustomInterceptor: REQ https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.091  9658 16057 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.091  9658 16057 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.093  9658 16057 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.141  9658 16054 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Cache-Control max-age=315360000
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Connection close
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Content-Length 17022
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Content-Type image/png
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:23 GMT
08-05 02:09:28.141  9658 16054 D CustomInterceptor: ETag "5a9473c0-427e"
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Expires Fri, 08 Jan 2038 06:15:44 GMT
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Last-Modified Tue, 06 Mar 2018 03:13:09 GMT
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Server nginx/1.11.8
08-05 02:09:28.141  9658 16054 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:28.141  9658 16054 D CustomInterceptor: X-nginx-server app14
08-05 02:09:28.141  9658 16054 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.142  9658 16054 D CustomInterceptor: REQ https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.142  9658 16054 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.142  9658 16054 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.144  9658 16054 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.165  9658 16381 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:28.166  9658 16381 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Connection close
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Content-Type application/json
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:23 GMT
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:28 GMT+00:00
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Server gunicorn/19.7.0
