--------- beginning of main
--------- beginning of system
08-03 19:48:40.136 13477  6410 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 19:48:56.864 13477  6621 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '15', toString = 'LruCache[maxSize=100,hits=8,misses=15,hitRate=34%]', 
08-03 19:48:56.864 13477  6621 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:56.864 13477  6623 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.864 13477  6623 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:56.864 13477  6623 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '16', toString = 'LruCache[maxSize=100,hits=8,misses=16,hitRate=33%]', 
08-03 19:48:56.864 13477  6623 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:57.022 13477  6930 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:48:57.022 13477  6930 D CustomInterceptor: HEADER REQUEST
08-03 19:48:57.022 13477  6930 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:57.022 13477  6930 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:48:57.022 13477  6930 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '17', toString = 'LruCache[maxSize=100,hits=8,misses=17,hitRate=32%]', 
08-03 19:48:57.022 13477  6930 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:48:57.387 13477  6622 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:57.391 13477  6624 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:57.391 13477  6622 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:57.393 13477  6624 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:57.477 13477  6930 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:57.479 13477  6930 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:57.806 13477  6622 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:57.809 13477  6622 D CustomInterceptor: HEADER REQUEST
08-03 19:48:57.809 13477  6622 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:57.809 13477  6622 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '18', toString = 'LruCache[maxSize=100,hits=8,misses=18,hitRate=30%]', 
08-03 19:48:57.809 13477  6622 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:57.830 13477  6624 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:57.831 13477  6624 D CustomInterceptor: HEADER REQUEST
08-03 19:48:57.831 13477  6624 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:57.831 13477  6624 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '19', toString = 'LruCache[maxSize=100,hits=8,misses=19,hitRate=29%]', 
08-03 19:48:57.831 13477  6624 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:59.393 13477  6930 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:48:59.393 13477  6930 D CustomInterceptor: HEADER REQUEST
08-03 19:48:59.394 13477  6930 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:59.394 13477  6930 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:48:59.394 13477  6930 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '20', toString = 'LruCache[maxSize=100,hits=8,misses=20,hitRate=28%]', 
08-03 19:48:59.394 13477  6930 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:48:59.961 13477  6930 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:59.964 13477  6930 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:03.377 13477  6930 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:03.377 13477  6930 D CustomInterceptor: HEADER REQUEST
08-03 19:49:03.377 13477  6930 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:03.377 13477  6930 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:03.377 13477  6930 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '21', toString = 'LruCache[maxSize=100,hits=8,misses=21,hitRate=27%]', 
08-03 19:49:03.377 13477  6930 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:03.966 13477  6930 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:03.970 13477  6930 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:09.312 13477  7147 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-03 19:49:09.313 13477  7147 D CustomInterceptor: HEADER REQUEST
08-03 19:49:09.313 13477  7147 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:09.313 13477  7147 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:09.313 13477  7147 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:49:09.313 13477  7147 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '22', toString = 'LruCache[maxSize=100,hits=8,misses=22,hitRate=26%]', 
08-03 19:49:09.313 13477  7147 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:49:09.923 13477  7147 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:49:09.924 13477  7147 D CustomInterceptor: HEADER RESPONSE
08-03 19:49:09.924 13477  7147 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Connection close
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Content-Type application/json
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Date Mon, 03 Aug 2020 17:49:05 GMT
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:54:09 GMT+00:00
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Server gunicorn/19.7.0
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 19:49:09.925 13477  7147 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-03 19:49:09.925 13477  7147 D CustomInterceptor: X-gunicorn-server app09
08-03 19:49:09.925 13477  7147 D CustomInterceptor: X-Marge Get ready, skanks! It's time for the truth train!
08-03 19:49:09.925 13477  7147 D CustomInterceptor: CACHEABLE true
08-03 19:49:09.925 13477  7147 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-03 19:49:09.925 13477  7147 D CustomInterceptor: REQ_SERV_BY net
08-03 19:49:09.925 13477  7147 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-03 19:49:09.931 13477  7147 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:49:11.679 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:11.679 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:11.679 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:11.679 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:11.679 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '9', createCount = '0', putCount = '9', evictionCount = '0', missCount = '23', toString = 'LruCache[maxSize=100,hits=9,misses=23,hitRate=28%]', 
08-03 19:49:11.679 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:12.261 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:12.266 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:14.162 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:14.162 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:14.163 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:14.163 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:14.163 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '9', createCount = '0', putCount = '9', evictionCount = '0', missCount = '24', toString = 'LruCache[maxSize=100,hits=9,misses=24,hitRate=27%]', 
08-03 19:49:14.163 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:14.705 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:14.710 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:18.124 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:18.124 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:18.124 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:18.124 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:18.124 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '9', createCount = '0', putCount = '9', evictionCount = '0', missCount = '25', toString = 'LruCache[maxSize=100,hits=9,misses=25,hitRate=26%]', 
08-03 19:49:18.125 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:18.698 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:18.701 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:19.130 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:19.131 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:19.131 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:19.131 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:19.131 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '9', createCount = '0', putCount = '9', evictionCount = '0', missCount = '26', toString = 'LruCache[maxSize=100,hits=9,misses=26,hitRate=25%]', 
08-03 19:49:19.131 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:19.514 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:19.518 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:20.706 13477  7387 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:49:20.708 13477  7387 D CustomInterceptor: HEADER REQUEST
08-03 19:49:20.708 13477  7387 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:20.708 13477  7387 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '9', createCount = '0', putCount = '9', evictionCount = '0', missCount = '27', toString = 'LruCache[maxSize=100,hits=9,misses=27,hitRate=25%]', 
08-03 19:49:20.708 13477  7387 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:49:20.708 13477  7387 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-03 19:49:20.708 13477  7387 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-03 19:49:20.708 13477  7387 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-03 19:49:21.434 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:21.434 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:21.434 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:21.434 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:21.434 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '27', toString = 'LruCache[maxSize=100,hits=10,misses=27,hitRate=27%]', 
08-03 19:49:21.434 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:21.970 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:21.974 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:25.394 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:25.394 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:25.394 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:25.394 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:25.395 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '28', toString = 'LruCache[maxSize=100,hits=10,misses=28,hitRate=26%]', 
08-03 19:49:25.395 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:25.982 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:25.989 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:26.546 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feed_unread_count?feed_id=0
08-03 19:49:26.548 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:26.548 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:26.548 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:26.548 13477  7210 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:49:26.548 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '29', toString = 'LruCache[maxSize=100,hits=10,misses=29,hitRate=25%]', 
08-03 19:49:26.548 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:49:27.001 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:27.009 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.063 13477  6626 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.064 13477  6623 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.066 13477  6626 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.070 13477  6623 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.090 13477  6621 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.091 13477  6628 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.093 13477  6621 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.094 13477  6628 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.812 13477  6622 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.818 13477  6622 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:27.836 13477  6624 D CustomInterceptor: Interceptor exiting with exception java.net.SocketTimeoutException: timeout
08-03 19:49:27.845 13477  6624 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:29.005 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feed_unread_count?feed_id=0
08-03 19:49:29.009 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:29.009 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:29.010 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:29.010 13477  7210 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:49:29.010 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '30', toString = 'LruCache[maxSize=100,hits=10,misses=30,hitRate=25%]', 
08-03 19:49:29.010 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:49:29.559 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:29.563 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:32.981 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feed_unread_count?feed_id=0
08-03 19:49:32.982 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:32.982 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:32.982 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:32.982 13477  7210 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 19:49:32.982 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '31', toString = 'LruCache[maxSize=100,hits=10,misses=31,hitRate=24%]', 
08-03 19:49:32.982 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:49:33.559 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:33.568 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:33.980 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:33.980 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:33.981 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:33.981 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:33.981 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '32', toString = 'LruCache[maxSize=100,hits=10,misses=32,hitRate=23%]', 
08-03 19:49:33.981 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:34.467 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:34.470 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:36.420 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:36.420 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:36.420 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:36.420 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
08-03 19:49:36.421 13477  7210 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '33', toString = 'LruCache[maxSize=100,hits=10,misses=33,hitRate=23%]', 
08-03 19:49:36.421 13477  7210 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-03 19:49:36.924 13477  7210 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:49:36.928 13477  7210 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:49:40.305 13477  7731 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:49:40.305 13477  7731 D CustomInterceptor: HEADER REQUEST
08-03 19:49:40.306 13477  7731 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:40.306 13477  7731 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '10', createCount = '0', putCount = '9', evictionCount = '0', missCount = '34', toString = 'LruCache[maxSize=100,hits=10,misses=34,hitRate=22%]', 
08-03 19:49:40.306 13477  7731 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:49:40.306 13477  7731 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-03 19:49:40.306 13477  7731 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-03 19:49:40.306 13477  7731 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-03 19:49:40.319 13477  6625 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg
08-03 19:49:40.320 13477  6625 D CustomInterceptor: HEADER REQUEST
08-03 19:49:40.320 13477  6625 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:40.320 13477  6625 D CustomInterceptor: CACHED STATS: size = '9', maxSize = '100', hitCount = '11', createCount = '0', putCount = '9', evictionCount = '0', missCount = '34', toString = 'LruCache[maxSize=100,hits=11,misses=34,hitRate=24%]', 
08-03 19:49:40.320 13477  6625 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:49:40.337 13477  7210 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-03 19:49:40.337 13477  7210 D CustomInterceptor: HEADER REQUEST
08-03 19:49:40.337 13477  7210 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:49:40.337 13477  7210 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:19:20 GMT; Max-Age=63072000; Path=/
